 Year,Make,Vehicle Class,Engine_Size_L,Cylinders,Transmission,Fuel_Type,FC_City ,FC_Hwy,FC_Comb,Comb_mpg,CO2_Emissions,CO2_Rating,Smog_Rating
2021,Chevrolet,Pickup truck: Standard,2.7,4,A8,X,12.5,10.8,11.7,24,275,4,6
2021,Chevrolet,Pickup truck: Standard,2.7,4,A8,X,12.5,10.8,11.7,24,275,4,6
2021,Chevrolet,Pickup truck: Standard,3,6,A10,D,10.6,9.2,10,28,268,4,3
2021,Chevrolet,Pickup truck: Standard,4.3,6,A6,X,15.8,11.9,14,20,329,3,6
2021,Chevrolet,Pickup truck: Standard,4.3,6,A6,X,16.3,13,14.8,19,347,2,6
2021,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,16,11.8,14.1,20,331,3,5
2021,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,17.3,11.8,14.8,19,348,2,5
2021,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,16.5,12.8,14.8,19,347,2,3
2021,Chevrolet,Pickup truck: Standard,5.3,8,A6,E,22,16.4,19.5,14,326,3,3
2021,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,16.5,13.1,15,19,350,2,5
2021,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,17.8,13.2,15.7,18,368,2,5
2021,Chevrolet,Pickup truck: Standard,5.3,8,A8,X,14.4,10.6,12.7,22,299,3,5
2021,Chevrolet,Pickup truck: Standard,5.3,8,A8,X,16.8,11.4,14.4,20,339,2,5
2021,Chevrolet,Pickup truck: Standard,5.3,8,A10,X,14.3,10.7,12.7,22,298,3,5
2021,Chevrolet,Pickup truck: Standard,5.3,8,A10,X,15.3,11,13.3,21,313,3,5
2021,Chevrolet,Pickup truck: Standard,5.3,8,A10,X,14.7,11.2,13.1,22,307,3,5
2021,Chevrolet,Pickup truck: Standard,5.3,8,A10,X,15.6,11.4,13.7,21,321,3,5
2021,Chevrolet,Pickup truck: Standard,6.2,8,A10,Z,14.7,11,13.1,22,306,3,3
2021,Chevrolet,Pickup truck: Standard,6.2,8,A10,Z,15.6,11.6,13.8,20,324,3,3
2021,Chevrolet,Pickup truck: Standard,6.2,8,A10,Z,15.7,12.4,14.2,20,332,3,3
2021,Chevrolet,Pickup truck: Standard,6.2,8,A10,Z,16.8,12.7,15,19,352,2,3
2021,Chevrolet,Subcompact,1.4,4,AV,X,7.7,6.2,7,40,165,7,5
2021,Chevrolet,Subcompact,1.4,4,M5,X,8,6.2,7.2,39,170,7,5
2021,Chevrolet,SUVStandard,3,6,A10,D,11.3,8.6,10.1,28,272,4,3
2021,Chevrolet,SUVStandard,5.3,8,A10,X,14.3,11.8,13.2,21,309,3,5
2021,Chevrolet,SUVStandard,5.3,8,A10,X,15.3,12,13.8,20,325,3,5
2021,Chevrolet,SUVStandard,3,6,A10,D,12,8.9,10.6,27,277,4,3
2021,Chevrolet,SUVStandard,5.3,8,A10,X,15.3,12.4,14,20,328,3,5
2021,Chevrolet,SUVStandard,5.3,8,A10,X,16,12.6,14.5,19,341,2,5
2021,Chevrolet,SUVStandard,6.2,8,A10,Z,16.8,12.4,14.8,19,347,2,3
2021,Chevrolet,SUVStandard,6.2,8,A10,Z,17.5,12.6,15.3,18,357,2,3
2021,Chevrolet,SUVStandard,3,6,A10,D,11,8.4,9.8,29,263,4,3
2021,Chevrolet,SUVStandard,5.3,8,A10,X,14.3,11.8,13.2,21,309,3,5
2021,Chevrolet,SUVStandard,5.3,8,A10,X,15.3,12,13.8,20,325,3,5
2021,Chevrolet,SUVStandard,3,6,A10,D,12,8.9,10.6,27,277,4,3
2021,Chevrolet,SUVStandard,5.3,8,A10,X,14.8,11.8,13.5,21,317,3,5
2021,Chevrolet,SUVStandard,5.3,8,A10,X,15.5,12,13.9,20,327,3,5
2021,Chevrolet,SUVStandard,6.2,8,A10,Z,16.8,12.4,14.8,19,347,2,3
2021,Chevrolet,SUVStandard,6.2,8,A10,Z,17.5,12.6,15.3,18,357,2,3
2021,Chevrolet,SUVSmall,1.2,3,AV,X,8.4,7.5,8,35,188,6,7
2021,Chevrolet,SUVSmall,1.3,3,AV,X,8,7.2,7.6,37,179,7,7
2021,Chevrolet,SUVSmall,1.3,3,A9,X,8.9,7.8,8.4,34,196,6,7
2021,Chevrolet,SUVStandard,3.6,6,A9,X,13,8.8,11.1,25,261,4,6
2021,Chevrolet,SUVStandard,3.6,6,A9,X,13.6,9.6,11.8,24,277,4,6
2021,Chevrolet,SUVSmall,1.4,4,AS6,X,9.1,7.6,8.4,34,196,6,5
